datetime,Change_NQ,Change_ES,Change_YM,SMT_NQ_ES,SMT_NQ_YM,RS,FVG_Bullish,FVG_Bearish,Sweep_High,Sweep_Low,Bullish_Setup,Bearish_Setup,Target
2024-01-02 15:10:00,-0.0007558298019972493,-0.0003813254287529929,-0.0001327492366917683,0,0,2,0,0,0,0,0,0,0
2024-01-02 15:15:00,-0.0007935720662632506,-0.00012708633398289052,-0.00015931600329253677,0,0,1,0,0,0,0,0,0,0
2024-01-02 15:20:00,0.001191273918546691,0.0003495318391730298,0.00010622477161679537,0,0,0,0,0,0,0,0,0,0
2024-01-02 15:25:00,-0.0019084802062418057,-0.000995277724837531,-0.0004513953426622127,0,0,2,0,0,0,0,0,0,0
2024-01-02 15:30:00,-0.0010431154381083823,-0.000540517625113923,-2.6565364078290533e-05,0,0,2,0,0,0,0,0,0,1
2024-01-02 15:35:00,-0.00029834418974691596,0.0,0.0003719249774188044,1,1,2,0,0,0,0,0,0,1
2024-01-02 15:40:00,0.000945085555113399,0.0007425081122351543,0.0008497304761147403,0,0,0,0,0,0,0,0,0,1
2024-01-02 15:45:00,-0.001515678576752862,-0.00042384555068130763,0.0003184037359371804,0,1,2,0,0,0,0,0,0,1
2024-01-02 15:50:00,0.0005723386253918313,6.40278432072169e-05,-0.00021219596297176224,0,1,0,0,0,0,0,0,0,1
2024-01-02 15:55:00,0.0006839434938321581,-4.239983040063984e-05,-0.00013265766363325824,1,1,0,0,0,0,0,0,0,1
2024-01-02 16:00:00,0.001230256862720743,0.000922254966396002,0.00032294016186805284,0,0,0,0,0,0,0,0,0,1
2024-01-02 16:05:00,0.00032270876774911206,0.00017199745816557312,-0.00010610642474407253,0,1,0,0,0,0,0,0,0,1
2024-01-02 16:10:00,0.0006948580504269147,-5.823957643939111e-05,-0.0006897832488790781,1,1,0,0,0,0,0,0,0,1
2024-01-02 16:15:00,0.0004835949706122887,0.00012707556760420679,0.00013274571231337154,0,0,0,0,0,0,0,0,0,1
2024-01-02 16:20:00,-0.00037182093103969583,-0.0002647127337413439,-0.00013273161667112123,0,0,2,0,0,0,0,0,0,1
2024-01-02 16:25:00,0.0007191211843182495,0.00048718491844939915,0.0002655055225149287,0,0,0,0,0,0,0,0,0,1
2024-01-02 16:30:00,0.00047082145954651896,0.0005928184281843445,0.000424729898330347,0,0,1,0,0,0,0,0,0,1
2024-01-02 16:35:00,-0.00027740281613400337,-0.000359712230215861,-0.0008490541006659588,0,0,0,0,0,0,0,0,0,1
2024-01-02 16:40:00,0.00039640264598772394,0.0005186063248804126,0.0006878035696740092,0,0,2,0,0,0,0,0,0,1
2024-01-02 16:45:00,0.0007677448115310375,0.0009306901366732238,0.0010085193343772271,0,0,2,0,0,0,0,0,0,0
2024-01-02 16:50:00,-0.0006186893684418927,-0.0001564167873260387,0.00015932769544824902,0,1,2,0,0,0,0,0,0,0
2024-01-02 16:55:00,0.00034668053388812916,0.0003276747774983184,0.00013253459152841904,0,0,0,0,0,0,0,0,0,0
2024-01-02 17:00:00,0.00027551550857729914,8.453264016572723e-05,0.00013277854341139158,0,0,0,0,0,0,0,0,0,0
2024-01-02 17:05:00,-9.899274878120242e-05,-5.283066714561667e-05,0.00013250298131695912,0,1,2,0,0,0,0,0,0,0
